Period,Method,Field,Country,Internationality
2001,euclid,top_Life,Afghanistan,
2001,euclid,top_Life,Albania,0.31066982334878446
2001,euclid,top_Life,Algeria,0.5084338115048974
2001,euclid,top_Life,American Samoa,0.22203437500695916
2001,euclid,top_Life,Andorra,
2001,euclid,top_Life,Angola,
2001,euclid,top_Life,Anguilla,
2001,euclid,top_Life,Antarctica,
2001,euclid,top_Life,Antigua and Barbuda,
2001,euclid,top_Life,Argentina,0.33693505390226364
2001,euclid,top_Life,Armenia,0.6761295011808531
2001,euclid,top_Life,Aruba,
2001,euclid,top_Life,Australia,0.4136556680500602
2001,euclid,top_Life,Austria,0.32648048439694166
2001,euclid,top_Life,Azerbaijan,0.7049071748424086
2001,euclid,top_Life,Bahamas,
2001,euclid,top_Life,Bahrain,0.38968031228967487
2001,euclid,top_Life,Bangladesh,0.5934164249904328
2001,euclid,top_Life,Barbados,0.3120411551818322
2001,euclid,top_Life,Belarus,0.5971989325244511
2001,euclid,top_Life,Belgium,0.3097870152451995
2001,euclid,top_Life,Belize,
2001,euclid,top_Life,Benin,0.33812660842586006
2001,euclid,top_Life,Bermuda,0.19406176821367443
2001,euclid,top_Life,Bhutan,0.44908391035519984
2001,euclid,top_Life,Bolivia,0.361719222779585
2001,euclid,top_Life,Bosnia and Herzegovina,0.5398962819989837
2001,euclid,top_Life,Botswana,0.49355300033706784
2001,euclid,top_Life,Bouvet Island,
2001,euclid,top_Life,Brazil,0.5332309504329283
2001,euclid,top_Life,British Indian Ocean Territory,
2001,euclid,top_Life,Brunei Darussalam,0.36026047619447776
2001,euclid,top_Life,Bulgaria,0.4592731518544465
2001,euclid,top_Life,Burkina Faso,0.34231176825037435
2001,euclid,top_Life,Burundi,0.1097901486373033
2001,euclid,top_Life,Cambodia,0.4638398635845714
2001,euclid,top_Life,Cameroon,0.3806493310812584
2001,euclid,top_Life,Canada,0.38124106252136253
2001,euclid,top_Life,Cape Verde,
2001,euclid,top_Life,Cayman Islands,
2001,euclid,top_Life,Central African Republic,0.3214567324965229
2001,euclid,top_Life,Chad,0.34867929967816397
2001,euclid,top_Life,Chile,0.3037355199928733
2001,euclid,top_Life,China,0.674324761234292
2001,euclid,top_Life,Christmas Island,
2001,euclid,top_Life,Cocos (Keeling) Islands,
2001,euclid,top_Life,Colombia,0.3264345121194434
2001,euclid,top_Life,Comoros,
2001,euclid,top_Life,Congo,0.3572622355396869
2001,euclid,top_Life,Cook Islands,
2001,euclid,top_Life,Costa Rica,0.3909860581883241
2001,euclid,top_Life,Cote d'Ivoire,0.335385553915484
2001,euclid,top_Life,Croatia,0.35630015456061415
2001,euclid,top_Life,Cuba,0.5406510827615966
2001,euclid,top_Life,Cyprus,0.32308233149615373
2001,euclid,top_Life,Czech Republic,0.4821071119703286
2001,euclid,top_Life,Democratic Republic Congo,
2001,euclid,top_Life,Denmark,0.3109056267731266
2001,euclid,top_Life,Djibouti,0.22155424561885786
2001,euclid,top_Life,Dominica,
2001,euclid,top_Life,Dominican Republic,0.33424940009428245
2001,euclid,top_Life,Ecuador,0.33483272118070045
2001,euclid,top_Life,Egypt,0.4202762581558798
2001,euclid,top_Life,El Salvador,0.5113497152175757
2001,euclid,top_Life,Equatorial Guinea,0.5980456941928751
2001,euclid,top_Life,Eritrea,0.24517853724489544
2001,euclid,top_Life,Estonia,0.29030626017521527
2001,euclid,top_Life,Ethiopia,0.3217610440789183
2001,euclid,top_Life,Falkland Islands (Malvinas),0.31680439794006693
2001,euclid,top_Life,Faroe Islands,0.330660173089212
2001,euclid,top_Life,Federated States of Micronesia,
2001,euclid,top_Life,Fiji,0.5455333853249849
2001,euclid,top_Life,Finland,0.35784880829386867
2001,euclid,top_Life,France,0.3567272513092084
2001,euclid,top_Life,French Guiana,0.2635488954215163
2001,euclid,top_Life,French Polynesia,0.40183875488741927
2001,euclid,top_Life,French Southern Territories,
2001,euclid,top_Life,Gabon,0.36292647687186863
2001,euclid,top_Life,Gambia,0.24950640129777624
2001,euclid,top_Life,Georgia,0.5931787914055489
2001,euclid,top_Life,Germany,0.3430372449193209
2001,euclid,top_Life,Ghana,0.34464482549736913
2001,euclid,top_Life,Gibraltar,0.0
2001,euclid,top_Life,Greece,0.3132611592067624
2001,euclid,top_Life,Greenland,0.35078456050769824
2001,euclid,top_Life,Grenada,
2001,euclid,top_Life,Guadeloupe,0.4103956875075354
2001,euclid,top_Life,Guam,0.45712536282919003
2001,euclid,top_Life,Guatemala,0.4453093708106056
2001,euclid,top_Life,Guinea,0.3010176221216319
2001,euclid,top_Life,Guinea-Bissau,
2001,euclid,top_Life,Guyana,0.40271974269076904
2001,euclid,top_Life,Haiti,0.4086528212296739
2001,euclid,top_Life,Heard Island and McDonald Islands,
2001,euclid,top_Life,Honduras,0.3823314846009704
2001,euclid,top_Life,Hong Kong,0.3199798719992712
2001,euclid,top_Life,Hungary,0.3955292100455215
2001,euclid,top_Life,Iceland,0.3232544252973256
2001,euclid,top_Life,India,0.6588984820137205
2001,euclid,top_Life,Indonesia,0.48416155710079223
2001,euclid,top_Life,Iran,0.3843157966703462
2001,euclid,top_Life,Iraq,0.42024086688979223
2001,euclid,top_Life,Ireland,0.31027537961918766
2001,euclid,top_Life,Israel,0.3339819657148417
2001,euclid,top_Life,Italy,0.3488358102798364
2001,euclid,top_Life,Jamaica,0.2817643505367043
2001,euclid,top_Life,Japan,0.4431983759573536
2001,euclid,top_Life,Jordan,0.37555310398041036
2001,euclid,top_Life,Kazakhstan,0.6225611635176479
2001,euclid,top_Life,Kenya,0.35886305540365004
2001,euclid,top_Life,Kiribati,
2001,euclid,top_Life,Kuwait,0.34605250028748613
2001,euclid,top_Life,Kyrgyzstan,0.6826578449874199
2001,euclid,top_Life,Laos,
2001,euclid,top_Life,Latvia,0.4150534041007733
2001,euclid,top_Life,Lebanon,0.3571932702922969
2001,euclid,top_Life,Lesotho,0.47055724720471637
2001,euclid,top_Life,Liberia,
2001,euclid,top_Life,Libyan Arab Jamahiriya,0.5437205844047975
2001,euclid,top_Life,Liechtenstein,
2001,euclid,top_Life,Lithuania,0.5698276844974419
2001,euclid,top_Life,Luxembourg,0.3253554268494179
2001,euclid,top_Life,Macao,
2001,euclid,top_Life,Macedonia,0.6897783421746543
2001,euclid,top_Life,Madagascar,0.38977333619439936
2001,euclid,top_Life,Malawi,0.42314429551983745
2001,euclid,top_Life,Malaysia,0.36964446783480936
2001,euclid,top_Life,Maldives,0.35542988051137625
2001,euclid,top_Life,Mali,0.39121666064322447
2001,euclid,top_Life,Malta,0.6055958738170635
2001,euclid,top_Life,Marshall Islands,0.4648918470863674
2001,euclid,top_Life,Martinique,0.4788935868121927
2001,euclid,top_Life,Mauritania,0.35066272230114914
2001,euclid,top_Life,Mauritius,0.4231932742229661
2001,euclid,top_Life,Mayotte,
2001,euclid,top_Life,Mexico,0.3517850287455355
2001,euclid,top_Life,Moldova,0.7568835792712956
2001,euclid,top_Life,Monaco,0.17344855410650964
2001,euclid,top_Life,Mongolia,0.5707254805728933
2001,euclid,top_Life,Montenegro,
2001,euclid,top_Life,Montserrat,
2001,euclid,top_Life,Morocco,0.4259242235113888
2001,euclid,top_Life,Mozambique,0.5436596876359833
2001,euclid,top_Life,Myanmar,0.0
2001,euclid,top_Life,Namibia,0.5294263123715097
2001,euclid,top_Life,Nauru,
2001,euclid,top_Life,Nepal,0.3630398940395596
2001,euclid,top_Life,Netherlands,0.32127690998801206
2001,euclid,top_Life,Netherlands Antilles,0.17697139354663527
2001,euclid,top_Life,New Caledonia,0.32815909557692463
2001,euclid,top_Life,New Zealand,0.3892379691730994
2001,euclid,top_Life,Nicaragua,0.31746873649528684
2001,euclid,top_Life,Niger,0.33983126337161407
2001,euclid,top_Life,Nigeria,0.39597328558154143
2001,euclid,top_Life,Niue,
2001,euclid,top_Life,Norfolk Island,
2001,euclid,top_Life,North Korea,0.3794754296856916
2001,euclid,top_Life,Northern Mariana Islands,
2001,euclid,top_Life,Norway,0.3114017144141408
2001,euclid,top_Life,Oman,0.24449784646750336
2001,euclid,top_Life,Pakistan,0.5978810938537079
2001,euclid,top_Life,Palau,0.2345915388485528
2001,euclid,top_Life,Palestine,0.37283191710219565
2001,euclid,top_Life,Panama,0.39315066460793463
2001,euclid,top_Life,Papua New Guinea,0.39445273927140095
2001,euclid,top_Life,Paraguay,0.31499362505296524
2001,euclid,top_Life,Peru,0.38908264688632976
2001,euclid,top_Life,Philippines,0.3896354345107797
2001,euclid,top_Life,Pitcairn,
2001,euclid,top_Life,Poland,0.5712413259562891
2001,euclid,top_Life,Portugal,0.31452806691770385
2001,euclid,top_Life,Puerto Rico,0.38084383547084066
2001,euclid,top_Life,Qatar,0.4788935868121927
2001,euclid,top_Life,Reunion,0.232271736881894
2001,euclid,top_Life,Romania,0.3541571319102819
2001,euclid,top_Life,Russian Federation,0.6934770371110318
2001,euclid,top_Life,Rwanda,0.24275967603930723
2001,euclid,top_Life,Saint Helena,
